"year" "Ctop" "Csub" "Cman"
1951 3.3116 0.39 0
1952 3.3116 0.39 0
1953 3.3116 0.39 0
1954 3.3116 0.39 0
1955 3.3116 0.39 0
1956 3.3116 0.39 0
1957 3.3116 0.39 0
1958 3.3116 0.39 0
1959 3.3116 0.39 0
1960 3.3116 0.39 0
1961 3.3116 0.39 0
1962 3.3116 0.39 0
1963 3.3116 0.39 0
1964 3.3116 0.39 0
1965 3.3116 0.39 0
1966 3.3116 0.39 0
1967 3.3116 0.39 0
1968 3.3116 0.39 0
1969 3.3116 0.39 0
1970 3.3116 0.39 0
1971 3.3116 0.39 0
1972 3.3116 0.39 0
1973 3.3116 0.39 0
1974 3.3116 0.39 0
1975 3.3116 0.39 0
1976 3.3116 0.39 0
1977 3.3116 0.39 0
1978 3.3116 0.39 0
1979 3.3116 0.39 0
1980 3.3116 0.39 0
1981 3.4382 0.26 0
1982 3.4382 0.26 0
1983 3.4382 0.26 0
1984 3.4382 0.26 0
1985 3.4382 0.26 0
1986 3.4382 0.26 0
1987 3.4382 0.26 0
1988 3.4382 0.26 0
1989 3.4382 0.26 0
1990 3.4382 0.26 0
1991 3.4382 0.26 0
1992 3.4382 0.26 0
1993 3.4382 0.26 0
1994 3.4382 0.26 0
1995 3.4382 0.26 0
1996 3.4382 0.26 0
1997 3.4382 0.26 0
1998 3.4382 0.26 0
1999 2 0.26 0
2000 1.87 0.39 0
2001 1.87 0.39 0
2002 1.87 0.39 0
2003 3.4382 0.26 0
2004 3.4382 0.26 0
2005 3.4382 0.26 0
2006 3.4382 0.26 0
2007 3.4382 0.26 0
2008 1.87 0.39 0.77
2009 3.4382 0.26 0
2010 3.4382 0.26 0
2011 3.4382 0.26 0
2012 3.4382 0.26 0
2013 1.87 0.39 0
2014 3.4382 0.26 0
2015 3.4382 0.26 0
2016 3.4382 0.26 0
2017 3.4382 0.26 0
2018 3.4382 0.26 0
2019 3.4382 0.26 0
